,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
2020-01-26,4.0,0.0,0.0,24992369.0,2.0,0.0
2020-01-27,5.000000000000001,0.0,0.0,24992367.90085807,1.9225345616140448,1.1766073705504247
2020-01-28,5.0,0.0,0.0,24992366.844268303,1.8480680703677748,2.307663629967622
2020-01-29,6.0,0.0,0.0,24992365.828547396,1.776481896056353,3.3949707106505294
2020-01-30,9.0,2.0,0.0,24992364.852152053,1.7076672746507293,4.440180676261885
2020-01-31,9.0,2.0,0.0,24992363.91358966,1.6415190141556772,5.444891330806755
2020-02-01,12.0,2.0,0.0,24992363.011413097,1.5779351285689271,6.4106517788133415
2020-02-02,12.0,2.0,0.0,24992362.14422074,1.5168168378811662,7.338962425332995
2020-02-03,12.0,2.0,0.0,24992361.310656462,1.458068568076037,8.231274975940213
2020-02-04,13.0,2.0,0.0,24992360.509409618,1.4015979511301402,9.088992436732628
2020-02-05,13.0,2.0,0.0,24992359.739215065,1.347315825013032,9.913469114331022
2020-02-06,14.0,2.0,0.0,24992358.998853154,1.2951362336872252,10.706010615879322
2020-02-07,15.0,2.0,0.0,24992358.287149727,1.2449764271081896,11.46787384904459
2020-02-08,15.0,2.0,0.0,24992357.60297612,1.196756861224351,12.200267022017046
2020-02-09,15.0,2.0,0.0,24992356.945097856,1.1503905348493737,12.904511612235083
2020-02-10,15.0,2.0,0.0,24992356.312362615,1.1057962365713168,13.581841153513617
2020-02-11,15.0,2.0,0.0,24992355.70391854,1.062913930515593,14.233167532909459
2020-02-12,15.0,2.0,0.0,24992355.11893159,1.0216848357381645,14.859383575931911
2020-02-13,15.0,8.0,0.0,24992354.556583762,0.9820513015899985,15.461364939703573
2020-02-14,15.0,8.0,0.0,24992354.01607308,0.9439568077170658,16.039970112960347
2020-02-15,15.0,8.0,0.0,24992353.49661362,0.9073459640603422,16.59604041605144
2020-02-16,15.0,8.0,0.0,24992352.99743549,0.8721645108558076,17.13040000093935
2020-02-17,15.0,10.0,0.0,24992352.517784834,0.8383593186344465,17.643855851199888
2020-02-18,15.0,10.0,0.0,24992352.056923833,0.8058783882222479,18.137197782022163
2020-02-19,15.0,10.0,0.0,24992351.614130713,0.7746708507402049,18.611198440208575
2020-02-20,15.0,10.0,0.0,24992351.188699733,0.7446869676043153,19.066613304174844
2020-02-21,15.0,11.0,0.0,24992350.77994119,0.715878130525581,19.504180683949976
2020-02-22,15.0,11.0,0.0,24992350.38718142,0.688196861510009,19.92462172117629
2020-02-23,15.0,11.0,0.0,24992350.0097628,0.6615968128586099,20.328640389109392
2020-02-24,15.0,11.0,0.0,24992349.647043742,0.636032767167399,20.7169234926182
2020-02-25,15.0,11.0,0.0,24992349.2983987,0.6114606373273963,21.090140668184933
2020-02-26,15.0,11.0,0.0,24992348.963218153,0.5878374665246259,21.44894438390511
2020-02-27,15.0,11.0,0.0,24992348.640908636,0.5651214282401166,21.793969939487546
2020-02-28,15.0,11.0,0.0,24992348.330892712,0.5432718262499014,22.125835466254365
2020-02-29,25.0,11.0,0.0,24992348.032608982,0.5222490946250176,22.445141927140995
2020-03-01,27.0,11.0,1.0,24992347.74554537,0.5020171429354966,22.752437491939126
2020-03-02,30.0,11.0,1.0,24992347.469352774,0.4825513668423157,23.04809586046487
2020-03-03,39.0,11.0,1.0,24992347.20368678,0.4638274920479333,23.332485728232303
2020-03-04,52.0,11.0,2.0,24992346.9482046,0.4458213593729168,23.605974042942474
2020-03-05,55.0,21.0,2.0,24992346.702568725,0.4285091821551781,23.86892209420843
2020-03-06,60.0,21.0,2.0,24992346.466446944,0.41186754624997335,24.121685513555235
2020-03-07,63.0,21.0,2.0,24992346.239512317,0.3958734100299033,24.364614274419957
2020-03-08,76.0,21.0,3.0,24992346.021443207,0.380504104384913,24.598052692151672
2020-03-09,91.0,21.0,3.0,24992345.811923247,0.36573733272229164,24.822339424011457
2020-03-10,107.0,21.0,3.0,24992345.61064136,0.351551170966673,25.03780746917241
2020-03-11,128.0,21.0,3.0,24992345.417291764,0.3379240675600351,25.244784168719622
2020-03-12,128.0,21.0,3.0,24992345.231573954,0.32483484346170055,25.443591205650204
2020-03-13,200.0,23.0,3.0,24992345.053192705,0.3122626921483361,25.634544604873263
2020-03-14,250.0,23.0,3.0,24992344.881858088,0.3001871796139529,25.817954733209923
2020-03-15,297.0,23.0,3.0,24992344.717285458,0.2885882443699066,25.994126299393308
2020-03-16,377.0,23.0,3.0,24992344.55919545,0.27744619744489696,26.16335835406856
2020-03-17,452.0,23.0,5.0,24992344.40731399,0.26674172238496846,26.32594428979281
2020-03-18,568.0,23.0,6.0,24992344.261372287,0.2564558752535097,26.482171841035218
2020-03-19,681.0,26.0,6.0,24992344.121106833,0.24657008463125357,26.63232308417694
2020-03-20,791.0,26.0,7.0,24992343.986259412,0.23706615161627764,26.776674437511133
2020-03-21,1071.0,26.0,7.0,24992343.85657709,0.22792624982400356,26.915496661242976
2020-03-22,1549.0,88.0,7.0,24992343.73181222,0.21913292538719764,27.049054857489647
2020-03-23,1682.0,88.0,7.0,24992343.611722436,0.21066909695597008,27.177608470280333
2020-03-24,2044.0,115.0,8.0,24992343.49607066,0.20251805569777603,27.301411285556227
2020-03-25,2364.0,119.0,8.0,24992343.38471148,0.1946695526892126,27.4206189684322
2020-03-26,2810.0,172.0,13.0,24992343.277565658,0.18711800302620066,27.535316342889587
2020-03-27,3143.0,194.0,13.0,24992343.174500383,0.17985404687571477,27.645645572001122
2020-03-28,3640.0,244.0,14.0,24992343.075384703,0.17286845423882352,27.75174684683708
2020-03-29,3984.0,244.0,16.0,24992342.980089493,0.16615212495383558,27.853758386417482
2020-03-30,4361.0,257.0,17.0,24992342.888487477,0.15969608869629975,27.951816437712118
2020-03-31,4559.0,358.0,18.0,24992342.800453223,0.1534915049790051,28.046055275640523
2020-04-01,4862.0,422.0,20.0,24992342.71586314,0.14752966315198066,28.136607203071993
2020-04-02,5116.0,520.0,24.0,24992342.63459547,0.1418019824024957,28.22360255082558
2020-04-03,5330.0,649.0,28.0,24992342.556530315,0.13630001175505965,28.30716967767008
2020-04-04,5550.0,701.0,30.0,24992342.481549602,0.13101543007142197,28.387434970324055
2020-04-05,5687.0,757.0,35.0,24992342.409537114,0.1259400460505724,28.46452284345582
2020-04-06,5797.0,1080.0,40.0,24992342.340378467,0.12106579822874071,28.538555739683453
2020-04-07,5895.0,1080.0,45.0,24992342.27396112,0.11638475497939683,28.609654129574764
2020-04-08,6010.0,1080.0,50.0,24992342.210174378,0.11188911451325091,28.677936511647342
2020-04-09,6108.0,1472.0,51.0,24992342.148909386,0.10757120487825313,28.74351941236852
2020-04-10,6215.0,1793.0,54.0,24992342.09005913,0.10342348395959387,28.80651738615539
2020-04-11,6303.0,1806.0,57.0,24992342.03351845,0.09943853947970362,28.867043015374797
2020-04-12,6315.0,1806.0,60.0,24992341.979184005,0.09560908899825306,28.925206910343338
2020-04-13,6351.0,1806.0,61.0,24992341.926954314,0.0919279799121529,28.981117709327375
2020-04-14,6415.0,2186.0,62.0,24992341.876729734,0.08838818945555417,29.034882078543014
2020-04-15,6440.0,2186.0,63.0,24992341.828412466,0.08498282469984784,29.086604712156124
2020-04-16,6462.0,2355.0,63.0,24992341.78190655,0.08170512255366515,29.136388332282323
2020-04-17,6522.0,3808.0,66.0,24992341.737117864,0.07854844976287748,29.18433368898699
2020-04-18,6568.0,4124.0,67.0,24992341.69396749,0.07550724377831926,29.230525269680818
2020-04-19,0.0,,,24992341.652470496,0.07258256664631614,29.27494694248317
2020-04-20,0.0,,,24992341.61258086,0.06977117497191034,29.317647969829334
2020-04-21,0.0,,,24992341.574236587,0.06706869940215063,29.35869471606918
2020-04-22,0.0,,,24992341.537377845,0.06447092274428357,29.398151234447408
2020-04-23,0.0,,,24992341.501946956,0.061973779965753456,29.436079267103516
2020-04-24,0.0,,,24992341.4678884,0.05957335819420235,29.472538245071846
